time/time_elapsed,time/iterations,rollout/ep_rew_mean,time/total_timesteps,rollout/ep_len_mean,time/fps,train/clip_fraction,train/entropy_loss,train/std,train/learning_rate,train/approx_kl,train/n_updates,train/clip_range,train/value_loss,train/explained_variance,train/loss,train/policy_gradient_loss
3956,104,-216.53889000000004,212992,24.0,53,0.126708984375,-15.027714675664901,0.9516772627830505,0.0003,0.013806217,1030,0.2,1811.1834531784057,0.7204638123512268,1264.0565185546875,-0.004309916813508607
3994,105,-203.91519,215040,24.0,53,0.193505859375,-15.014420241117477,0.9520062804222107,0.0003,0.016389795,1040,0.2,1798.5152030944823,0.7172372341156006,698.044921875,-0.009479651412402746
4033,106,-201.69439,217088,24.0,53,0.187109375,-15.004959100484848,0.9489324688911438,0.0003,0.024042655,1050,0.2,1685.0525772094727,0.7049823701381683,719.1924438476562,-0.005849395276163705
4071,107,-190.65546000000003,219136,24.0,53,0.180908203125,-14.96242296397686,0.9463832378387451,0.0003,0.01756256,1060,0.2,1665.6225971221925,0.6907269060611725,646.076904296875,-0.008158749010181054
4109,108,-183.09215000000003,221184,24.0,53,0.172265625,-14.920401233434678,0.9414896368980408,0.0003,0.013112243,1070,0.2,1462.5256395339966,0.7045460939407349,683.0682983398438,-0.008752024825662374
4147,109,-171.73687999999999,223232,24.0,53,0.1763671875,-14.885098695755005,0.9400438666343689,0.0003,0.019194858,1080,0.2,1491.6021793365478,0.7028979659080505,755.1416015625,-0.009521688277891372
4185,110,-160.41675,225280,24.0,53,0.195556640625,-14.86941796541214,0.9388425350189209,0.0003,0.019924184,1090,0.2,1394.8297143936156,0.6974440217018127,635.6141357421875,-0.004531548391969409
4223,111,-159.17079,227328,24.0,53,0.212451171875,-14.836834001541138,0.9356963634490967,0.0003,0.015362212,1100,0.2,1327.336688041687,0.6768642067909241,547.7857055664062,-0.0012996925666811875
4262,112,-144.94867,229376,24.0,53,0.1583984375,-14.833424627780914,0.9374447464942932,0.0003,0.026663013,1110,0.2,1413.3715297698975,0.66635662317276,976.8646850585938,-0.007110634701530216
4301,113,-139.29614,231424,24.0,53,0.175634765625,-14.846065124869346,0.9388014078140259,0.0003,0.012253567,1120,0.2,1301.6953800201416,0.6541999280452728,639.1698608398438,-0.008796314225764944
4339,114,-135.42254000000003,233472,24.0,53,0.21875,-14.828097480535508,0.934874951839447,0.0003,0.018414935,1130,0.2,1254.4892312049865,0.6547176837921143,401.2828674316406,6.40653888694942e-06
4378,115,-125.32761000000002,235520,24.0,53,0.178662109375,-14.814948919415475,0.9359791278839111,0.0003,0.019963887,1140,0.2,1272.2518323898316,0.6328471004962921,710.30810546875,-0.0006678471851046197
4416,116,-116.37469999999999,237568,24.0,53,0.1794921875,-14.819904521107674,0.9349966049194336,0.0003,0.018140655,1150,0.2,1273.5716249465943,0.6141312420368195,652.8565673828125,-0.0065864790260093285
4453,117,-110.65688000000002,239616,24.0,53,0.22568359375,-14.809782713651657,0.9342241883277893,0.0003,0.024731867,1160,0.2,1205.1912475585937,0.5913443863391876,473.55120849609375,-0.004999686480732635
4491,118,-104.7124,241664,24.0,53,0.18388671875,-14.805738452076913,0.9341736435890198,0.0003,0.013437679,1170,0.2,1186.3457225799561,0.6039427816867828,627.3588256835938,-0.004212470710626803
4528,119,-97.09695000000002,243712,24.0,53,0.20615234375,-14.78352364897728,0.9311813712120056,0.0003,0.031712584,1180,0.2,1153.9808511734009,0.563328355550766,760.7367553710938,-0.005120407060894649
