train/n_updates,train/learning_rate,train/explained_variance,train/entropy_loss,rollout/ep_len_mean,time/time_elapsed,time/total_timesteps,train/value_loss,train/policy_loss,time/iterations,rollout/ep_rew_mean,train/std,time/fps
21599,0.0007,0.324720979,-18.19223404,24,2036,108000,38.73134613,48.22377014,21600,66.82497,1.26866889,53
21699,0.0007,0.66352731,-18.22381783,24,2046,108500,30.83775902,7.04164505,21700,75.19844,1.27249217,53
21799,0.0007,0.884780072,-18.24278641,24,2055,109000,490.1790161,393.5783081,21800,81.42295,1.274606824,53
21899,0.0007,0.905452773,-18.21659851,24,2065,109500,390.9863281,315.9222717,21900,91.44638,1.271449924,53
21999,0.0007,0.979626421,-18.19818497,24,2075,110000,343.9012451,-308.408905,22000,118.48324,1.269496202,53
22099,0.0007,0,-18.23049164,24,2084,110500,24.97367668,-85.7728653,22100,137.86564,1.273672342,53
22199,0.0007,0.587956101,-18.1967907,24,2094,111000,30.08838463,-64.12730408,22200,149.2037,1.269869089,53
22299,0.0007,0.861397758,-18.19428253,24,2103,111500,42.88274384,-47.28181839,22300,159.64967,1.269167423,53
22399,0.0007,0.945342496,-18.17721939,24,2112,112000,93.77787018,109.6288223,22400,165.42154,1.267513514,53
22499,0.0007,0.895579979,-18.19153786,24,2122,112500,73.98570251,-85.85585785,22500,165.04304,1.269378543,53
22599,0.0007,0.989161723,-18.16328239,24,2131,113000,282.8751831,-294.2033691,22600,158.38623,1.265858889,53
22699,0.0007,3.87E-06,-18.20277786,24,2141,113500,35.59107971,-93.72246552,22700,153.8191,1.270423651,53
22799,0.0007,0.000153065,-18.20422745,24,2150,114000,21.90424347,33.59645844,22800,155.82588,1.269520283,53
22899,0.0007,0.757954866,-18.17625046,24,2160,114500,66.22468567,-44.17339325,22900,154.07997,1.267081618,53
22999,0.0007,0.973582622,-18.17079735,24,2169,115000,55.41836548,111.0485001,23000,150.39779,1.266861439,53
23099,0.0007,0.885141917,-18.1751976,24,2179,115500,117.0090714,157.5416565,23100,152.64,1.267036319,53
23199,0.0007,0.975177987,-18.13655281,24,2188,116000,109.2045746,89.65723419,23200,149.5685,1.262586594,53
