train/step_size,train/iterations,rollout/ep_rew_mean,time/fps,rollout/return_std,time/total_timesteps,time/time_elapsed,train/delta_std,rollout/ep_len_mean,train/learning_rate
0.00035808939719572663,237,632.7459375000001,52,6.981496810913086,91392,1741,0.05,24.0,0.02
1.2741527825710364e-05,238,582.8911875,52,196.2088165283203,91776,1748,0.05,24.0,0.02
8.116414392134175e-06,239,516.608,52,308.0177917480469,92160,1756,0.05,24.0,0.02
0.00036554032703861594,240,631.0176875,52,6.839190483093262,92544,1763,0.05,24.0,0.02
0.0002525238960515708,241,628.2428749999999,52,9.900053024291992,92928,1770,0.05,24.0,0.02
0.00034736908855848014,242,629.18625,52,7.196955680847168,93312,1778,0.05,24.0,0.02
0.00026903694379143417,243,633.4859375000001,52,9.292404174804688,93696,1785,0.05,24.0,0.02
0.0004965778789483011,244,631.48825,52,5.034457206726074,94080,1793,0.05,24.0,0.02
1.9542916561476886e-05,245,599.6126875,52,127.92357635498047,94464,1800,0.05,24.0,0.02
0.0006473891553469002,246,633.539375,52,3.8616647720336914,94848,1808,0.05,24.0,0.02
0.00029403934604488313,247,632.5425,52,8.502263069152832,95232,1815,0.05,24.0,0.02
4.058578269905411e-05,248,619.553125,52,61.597923278808594,95616,1822,0.05,24.0,0.02
0.0006221197545528412,249,635.09725,52,4.018518924713135,96000,1830,0.05,24.0,0.02
0.00040795363020151854,250,634.2404375,52,6.128147125244141,96384,1837,0.05,24.0,0.02
0.0003087965596932918,251,631.49825,52,8.095945358276367,96768,1845,0.05,24.0,0.02
0.000342899322276935,252,631.6764375,52,7.290769577026367,97152,1852,0.05,24.0,0.02
0.00030583320767618716,253,633.4268125,52,8.174389839172363,97536,1860,0.05,24.0,0.02
6.545270480273757e-06,254,538.619,52,381.9552001953125,97920,1867,0.05,24.0,0.02
3.6300066312833223e-06,255,392.17825000000005,52,688.7039794921875,98304,1875,0.05,24.0,0.02
0.0005594673566520214,256,635.5215625,52,4.468535900115967,98688,1883,0.05,24.0,0.02
1.2414168850227725e-05,257,585.2529374999999,52,201.38278198242188,99072,1891,0.05,24.0,0.02
0.0005475194775499403,258,634.454375,52,4.566047668457031,99456,1899,0.05,24.0,0.02
0.00034007467911578715,259,635.101,52,7.351326942443848,99840,1907,0.05,24.0,0.02
9.152998245554045e-06,260,535.4716875,52,273.1345520019531,100224,1915,0.05,24.0,0.02
0.00014473307237494737,261,630.7742499999999,52,17.273176193237305,100608,1923,0.05,24.0,0.02
0.0004893593140877783,262,634.6411249999999,52,5.108720302581787,100992,1931,0.05,24.0,0.02
0.0002730016421992332,263,634.884625,52,9.157453536987305,101376,1939,0.05,24.0,0.02
0.0003541333135217428,264,637.967625,52,7.059488296508789,101760,1947,0.05,24.0,0.02
0.00043259203084744513,265,638.7739375000001,52,5.779117107391357,102144,1955,0.05,24.0,0.02
3.96194081986323e-05,266,616.08225,52,63.10039138793945,102528,1963,0.05,24.0,0.02
0.0005025177961215377,267,636.6760625,52,4.974947929382324,102912,1970,0.05,24.0,0.02
0.0005433154292404652,268,641.136125,52,4.601378440856934,103296,1978,0.05,24.0,0.02
1.9583587345550768e-05,269,607.3691249999999,52,127.65792083740234,103680,1985,0.05,24.0,0.02
0.0004653216456063092,270,639.0017499999999,52,5.3726277351379395,104064,1993,0.05,24.0,0.02
0.0003689234144985676,271,635.455,52,6.7764739990234375,104448,2000,0.05,24.0,0.02
0.00026485600392334163,272,636.1524999999999,52,9.439091682434082,104832,2008,0.05,24.0,0.02
3.8717815186828375e-05,273,618.8885625,52,64.56975555419922,105216,2015,0.05,24.0,0.02
5.2895713452016935e-05,274,626.7927500000001,52,47.26280975341797,105600,2023,0.05,24.0,0.02
4.930741852149367e-05,275,622.776,52,50.70230484008789,105984,2031,0.05,24.0,0.02
0.0004768416110891849,276,638.169375,52,5.242830753326416,106368,2039,0.05,24.0,0.02
3.5703331377590075e-05,277,618.27625,52,70.02147674560547,106752,2046,0.05,24.0,0.02
0.0005200249142944813,278,636.868875,52,4.807461738586426,107136,2054,0.05,24.0,0.02
0.0005951551720499992,279,636.570875,52,4.200584888458252,107520,2062,0.05,24.0,0.02
0.00039812721661292017,280,637.0186874999999,52,6.279399871826172,107904,2069,0.05,24.0,0.02
3.319907045806758e-05,281,621.2489375,52,75.30330657958984,108288,2077,0.05,24.0,0.02
0.0006577998865395784,282,639.36175,52,3.8005473613739014,108672,2085,0.05,24.0,0.02
0.0007555507472716272,283,639.8018749999999,52,3.3088443279266357,109056,2093,0.05,24.0,0.02
1.689426244411152e-05,284,599.1691874999999,52,147.97923278808594,109440,2100,0.05,24.0,0.02
1.9960591089329682e-05,285,608.7889375000001,52,125.24678039550781,109824,2108,0.05,24.0,0.02
0.0004399942990858108,286,639.4643125,52,5.681891918182373,110208,2115,0.05,24.0,0.02
0.0007613006746396422,287,639.7483749999999,52,3.28385329246521,110592,2123,0.05,24.0,0.02
0.0002561075671110302,288,639.901375,52,9.761523246765137,110976,2130,0.05,24.0,0.02
