train/step_size,rollout/return_std,time/time_elapsed,train/delta_std,time/total_timesteps,time/fps,rollout/ep_len_mean,train/learning_rate,rollout/ep_rew_mean,train/iterations
0.0007473456207662821,3.34517240524292,1874,0.05,101376,54,24.0,0.02,613.810125,263
0.0010748825734481215,2.3258352279663086,1881,0.05,101760,54,24.0,0.02,613.8835624999999,264
5.905502803216223e-06,423.3339538574219,1888,0.05,102144,54,24.0,0.02,507.15987500000006,265
2.9492457542801276e-05,84.7674331665039,1896,0.05,102528,54,24.0,0.02,592.8546249999999,266
0.0006832231301814318,3.6591262817382812,1902,0.05,102912,54,24.0,0.02,613.2978125,267
1.0287511031492613e-05,243.01309204101562,1909,0.05,103296,54,24.0,0.02,552.4124999999999,268
1.9368653738638386e-05,129.07452392578125,1916,0.05,103680,54,24.0,0.02,581.0251875,269
0.00040865479968488216,6.1176323890686035,1923,0.05,104064,54,24.0,0.02,613.6705,270
0.0010368447983637452,2.411160945892334,1930,0.05,104448,54,24.0,0.02,615.4313125,271
0.00018764208653010428,13.323236465454102,1937,0.05,104832,54,24.0,0.02,611.5624375,272
9.612421308702324e-06,260.08013916015625,1944,0.05,105216,54,24.0,0.02,520.689625,273
0.000552349432837218,4.526120185852051,1951,0.05,105600,54,24.0,0.02,612.8386875,274
1.2066398994647898e-05,207.18690490722656,1958,0.05,105984,54,24.0,0.02,563.9761249999999,275
2.392785063420888e-05,104.48075103759766,1965,0.05,106368,54,24.0,0.02,588.1440625,276
0.0001305871846852824,19.144298553466797,1972,0.05,106752,54,24.0,0.02,609.888375,277
0.0016645281575620174,1.5019268989562988,1979,0.05,107136,54,24.0,0.02,614.679125,278
0.0010603800183162093,2.357645034790039,1986,0.05,107520,54,24.0,0.02,613.665625,279
0.0008878483204171062,2.8157958984375,1993,0.05,107904,54,24.0,0.02,614.8031249999999,280
0.0006874430109746754,3.636664628982544,2001,0.05,108288,54,24.0,0.02,613.7750625,281
1.3126912563166115e-05,190.4484405517578,2008,0.05,108672,54,24.0,0.02,568.59625,282
2.6303096092306077e-05,95.04584503173828,2015,0.05,109056,54,24.0,0.02,591.0788125,283
0.00020014800247736275,12.49075698852539,2022,0.05,109440,54,24.0,0.02,611.7630625,284
0.0011596668045967817,2.1557912826538086,2029,0.05,109824,54,24.0,0.02,613.4735,285
0.0004811138496734202,5.196275234222412,2036,0.05,110208,54,24.0,0.02,611.6373125,286
0.000462518772110343,5.405185699462891,2043,0.05,110592,54,24.0,0.02,612.745375,287
